Gender,Age,Weight,Duration,Heart_Rate,Body_Temp,Calories_Burnt
Male,30,83.9,25.5,131.0,38.1,298.6
Male,44,74.1,15.2,118.0,37.4,150.8
Female,45,79.6,10.9,110.0,37.6,63.5
Male,55,80.1,5.8,80.0,36.8,28.7
Female,47,65.5,20.7,124.0,37.9,153.3
Female,49,67.5,20.8,117.0,38.2,123.1
Female,22,63.4,5.0,91.0,36.5,15.3
Male,30,71.0,18.0,102.0,37.7,113.6
Male,33,47.3,28.5,112.0,38.2,196.8
Male,45,89.2,5.7,84.0,36.8,54.8
Male,54,84.2,8.4,97.0,37.5,73.3
Female,32,88.1,6.4,85.0,37.2,24.6
Female,38,68.2,15.9,101.0,37.5,60.5
Male,49,82.8,14.6,101.0,37.9,121.7
Female,26,84.5,26.8,128.0,37.8,177.5
Male,34,50.8,6.7,92.0,37.4,14.9
Female,26,53.0,10.0,98.0,37.3,51.2
Female,24,70.7,28.4,135.0,38.0,214.1
Female,47,55.0,5.5,90.0,37.1,19.2
Female,54,59.0,11.5,106.0,37.4,46.6
Female,24,67.3,14.9,97.0,37.7,69.8
Male,46,65.2,5.0,95.0,36.7,41.5
Male,47,53.8,12.2,103.0,37.4,92.4
Female,49,58.5,20.1,115.0,37.7,120.1
Male,47,78.3,20.4,110.0,38.3,185.4
Female,41,75.7,20.2,105.0,37.4,111.4
Female,22,56.8,21.3,112.0,38.2,119.6
Male,50,80.4,20.4,110.0,37.3,200.1
Female,26,84.4,5.9,102.0,37.4,25.0
Male,36,82.9,21.4,122.0,37.9,219.9
Male,58,73.1,19.6,103.0,37.8,187.5
Female,41,77.2,10.4,105.0,37.2,25.6
Male,30,83.1,15.5,103.0,37.0,123.0
Female,20,49.8,10.9,104.0,37.0,54.5
Male,28,81.5,26.7,119.0,38.5,247.6
Female,41,70.7,12.0,90.0,37.4,44.0
Female,53,73.7,9.1,106.0,37.1,53.3
Female,52,64.7,24.9,123.0,38.3,180.9
Female,26,76.0,24.0,109.0,37.7,108.7
Female,47,77.9,26.3,107.0,37.7,138.0
Female,45,53.5,21.9,111.0,37.5,148.5
Female,51,78.3,15.4,97.0,37.9,64.8
Male,38,88.9,16.9,106.0,38.2,170.7
Male,38,82.3,18.9,116.0,37.5,200.6
Male,35,71.8,19.9,125.0,38.0,223.8
Female,55,82.8,28.6,122.0,38.4,206.6
Female,40,73.8,11.6,112.0,38.2,56.8
Male,22,80.8,24.2,128.0,37.4,260.8
Female,39,64.8,5.4,89.0,37.2,24.4
Male,54,64.1,9.8,85.0,37.4,58.2
Female,53,62.2,28.6,132.0,37.8,255.3
Female,33,58.9,11.3,106.0,37.6,73.2
Female,55,49.4,17.8,129.0,38.0,151.6
Male,21,52.0,27.9,136.0,38.5,304.6
Female,49,54.6,21.4,121.0,37.7,152.5
Female,44,60.3,17.2,123.0,37.9,120.1
Female,18,58.0,22.5,108.0,37.6,112.5
Female,37,56.7,29.5,128.0,38.4,239.5
Female,33,71.4,28.5,123.0,38.2,185.4
Male,35,95.2,9.5,112.0,37.4,90.2
Female,28,57.3,8.5,101.0,36.9,41.9
Male,53,82.8,12.2,80.0,37.7,59.7
Female,52,59.3,8.6,108.0,37.7,47.3
Male,23,69.7,24.1,112.0,38.2,170.2
Male,50,84.0,25.8,127.0,37.9,324.2
Male,43,75.7,8.5,93.0,37.2,52.1
Female,25,60.7,6.8,97.0,37.7,30.5
Female,35,61.4,13.1,109.0,37.8,77.3
Male,29,75.5,22.2,118.0,37.7,191.4
Male,40,86.3,24.3,111.0,37.9,262.5
Male,23,77.5,16.5,119.0,37.8,160.3
Male,38,72.2,21.0,118.0,37.8,210.4
Female,22,58.3,27.9,124.0,37.9,174.8
Female,23,77.4,27.0,129.0,38.5,196.8
Male,53,92.0,7.9,92.0,37.4,66.2
Male,39,84.7,22.8,132.0,38.0,284.9
Female,30,58.2,24.4,121.0,37.5,170.8
Female,54,48.4,27.7,127.0,38.0,243.6
Female,32,65.8,15.5,110.0,37.6,82.0
Male,25,88.4,8.9,90.0,37.5,42.3
Female,55,55.0,16.8,99.0,37.5,101.8
Male,18,61.7,14.3,107.0,37.9,101.5
Male,57,77.6,14.8,109.0,37.7,143.1
Male,20,62.4,25.1,131.0,37.9,293.2
Male,51,79.8,21.3,119.0,37.1,238.5
Male,37,64.8,22.0,107.0,37.5,171.9
Female,23,70.9,21.3,119.0,37.5,135.1
Male,58,79.3,8.5,104.0,37.3,74.1
Male,35,77.1,6.5,102.0,37.4,53.5
Female,19,45.3,14.9,109.0,38.0,89.1
Female,48,52.0,26.2,112.0,38.0,160.9
Female,59,53.2,21.2,124.0,37.6,164.3
Female,24,49.7,24.8,114.0,38.7,160.0
Male,40,98.0,20.6,119.0,38.0,240.3
Female,57,57.4,24.6,107.0,37.8,152.2
Male,23,72.6,29.9,133.0,38.2,353.3
Male,51,76.0,22.8,111.0,37.5,224.4
Male,35,62.1,26.5,131.0,38.4,305.2
Male,20,92.3,29.3,140.0,38.5,386.5
Female,26,76.4,23.5,127.0,38.5,159.5
Male,54,69.7,25.3,111.0,38.3,253.9
Male,47,75.0,7.0,87.0,37.4,18.3
Female,55,49.3,5.9,86.0,37.5,28.3
Female,40,54.0,28.1,130.0,38.1,266.9
Female,23,75.3,10.9,103.0,37.3,25.7
Male,30,59.1,12.6,104.0,37.5,104.6
Male,30,73.2,8.4,99.0,36.9,36.4
Male,28,79.6,20.9,119.0,37.9,212.6
Male,21,89.5,5.7,98.0,37.1,59.8
Female,54,50.1,25.0,134.0,38.4,241.2
Male,21,73.0,12.5,102.0,37.5,73.8
Female,50,50.2,23.6,120.0,37.4,158.1
Male,48,83.0,27.8,109.0,38.0,248.5
Male,36,74.0,22.3,106.0,38.2,189.3
Female,44,73.5,15.6,101.0,37.0,66.0
Male,35,89.9,20.6,104.0,37.5,175.4
Male,40,96.6,26.4,124.0,38.1,321.9
Male,48,80.9,22.8,125.0,37.6,275.5
Female,37,66.8,11.3,97.0,37.2,53.8
Male,58,84.3,5.2,88.0,37.1,38.0
Male,53,57.2,27.0,119.0,37.7,252.7
Male,21,77.8,20.6,115.0,37.9,201.0
Male,55,66.3,6.6,90.0,37.3,10.0
Female,24,69.7,18.8,115.0,37.4,123.2
Male,26,85.9,19.7,115.0,37.8,180.6
Male,33,79.6,12.3,105.0,37.8,97.0
Male,52,75.9,27.2,129.0,38.1,331.4
Male,39,50.3,11.0,101.0,37.6,65.7
Female,49,62.8,8.6,98.0,37.5,39.5
Female,20,75.8,12.7,117.0,37.6,69.5
Female,49,54.8,13.5,104.0,37.8,60.9
Male,20,85.5,27.1,129.0,38.3,317.2
Female,28,59.2,21.4,115.0,37.6,124.6
Male,27,61.0,8.0,93.0,37.4,57.0
Male,53,88.3,14.8,102.0,37.8,131.3
Female,34,62.1,7.6,89.0,37.4,17.5
Female,50,72.8,22.6,117.0,37.7,148.4
Female,49,69.0,26.4,117.0,38.2,180.4
Female,47,68.6,7.3,92.0,37.6,16.5
Male,43,61.1,17.5,119.0,37.9,167.7
Male,54,79.0,11.1,99.0,37.8,107.7
Female,19,66.0,12.1,111.0,38.0,53.0
Female,45,57.6,23.7,120.0,38.0,156.3
Male,19,88.9,29.4,133.0,38.5,356.0
Female,44,65.4,12.0,97.0,37.3,37.4
Male,36,55.1,18.6,112.0,38.1,121.0
Female,58,70.5,12.8,124.0,37.7,73.6
Male,54,67.3,6.6,101.0,37.1,56.8
Male,20,81.5,20.1,121.0,37.9,207.6
Male,56,65.1,8.9,99.0,37.3,74.8
Female,25,66.6,22.2,123.0,38.1,153.9
Female,33,74.4,23.7,109.0,38.0,106.8
Female,40,83.6,8.6,90.0,36.9,33.7
Male,55,71.5,19.9,116.0,37.7,220.7
Male,32,74.4,10.2,106.0,37.6,72.6
Female,57,74.4,24.1,115.0,38.1,160.6
Female,30,80.9,12.1,100.0,37.5,43.2
Male,35,73.7,22.2,113.0,38.7,203.9
Male,57,64.2,21.2,113.0,38.2,209.9
Male,49,90.8,19.4,102.0,37.7,155.1
Male,46,86.1,10.4,88.0,37.5,84.7
Male,33,74.4,25.9,121.0,38.5,254.5
Male,18,80.7,13.9,90.0,37.5,70.2
Female,24,46.8,24.3,111.0,37.4,140.3
Male,31,66.8,16.9,103.0,37.7,124.8
Female,42,46.7,16.2,99.0,37.6,87.3
Female,54,54.0,22.8,119.0,38.6,164.2
Male,21,81.3,13.5,100.0,37.0,109.1
Female,20,54.8,24.1,118.0,38.5,159.0
Male,45,86.1,16.1,99.0,37.5,124.8
Female,28,49.4,23.5,112.0,38.2,109.2
Male,51,79.9,22.4,120.0,37.9,247.6
Female,42,69.6,28.6,128.0,38.3,210.0
Female,56,78.7,15.2,102.0,37.9,60.6
Female,36,73.3,13.7,107.0,37.6,58.4
Male,36,83.2,29.9,128.0,38.6,361.1
Male,50,77.6,17.9,111.0,37.7,186.1
Male,22,86.7,15.5,119.0,37.6,177.5
Female,26,75.5,22.5,113.0,37.8,135.3
Male,55,93.7,11.3,104.0,37.3,100.7
Female,23,69.3,28.9,129.0,38.2,212.4
Male,54,76.2,23.8,116.0,38.4,235.1
Male,47,62.8,21.2,105.0,37.4,177.0
